content,summary
"浏览器无法保存密码","Chrome浏览器无法保存密码的处理方式：备份书签，关闭chrome浏览器，前往路径C:\Users\工号C\AppData\Local\Google，将路径下“Chrome”文件夹重命名为“Chrome.bak”，打开chrome浏览器，导入书签。"
"谷歌浏览器无法保存密码","Chrome浏览器无法保存密码的处理方式：备份书签，关闭chrome浏览器，前往路径C:\Users\工号C\AppData\Local\Google，将路径下“Chrome”文件夹重命名为“Chrome.bak”，打开chrome浏览器，导入书签。"
"浏览器保存密码后带不出来","Chrome浏览器无法保存密码的处理方式：备份书签，关闭chrome浏览器，前往路径C:\Users\工号C\AppData\Local\Google，将路径下“Chrome”文件夹重命名为“Chrome.bak”，打开chrome浏览器，导入书签。"
"浏览器保存不了密码","Chrome浏览器无法保存密码的处理方式：备份书签，关闭chrome浏览器，前往路径C:\Users\工号C\AppData\Local\Google，将路径下“Chrome”文件夹重命名为“Chrome.bak”，打开chrome浏览器，导入书签。"
"谷歌浏览器如何设置保存网页密码","Chrome浏览器无法保存密码的处理方式：备份书签，关闭chrome浏览器，前往路径C:\Users\工号C\AppData\Local\Google，将路径下“Chrome”文件夹重命名为“Chrome.bak”，打开chrome浏览器，导入书签。"
"Edge浏览器右上角菜单字体变大","Edge浏览器菜单字体异常变大，其他字体正常，且无法调整：在浏览器地址栏输入：edge://flags/#edge-pc-ui-integration后回车，打开后可搜索找到Enable Windows 11 Visual Updates选项，将该选项改为disable后重启浏览器即可。"
"Edge浏览器右键菜单字体异常","Edge浏览器菜单字体异常变大，其他字体正常，且无法调整：在浏览器地址栏输入：edge://flags/#edge-pc-ui-integration后回车，打开后可搜索找到Enable Windows 11 Visual Updates选项，将该选项改为disable后重启浏览器即可。"
"浏览器字体异常如何修改","Edge浏览器菜单字体异常变大，其他字体正常，且无法调整：在浏览器地址栏输入：edge://flags/#edge-pc-ui-integration后回车，打开后可搜索找到Enable Windows 11 Visual Updates选项，将该选项改为disable后重启浏览器即可。"
"Edge浏览器收藏夹字体变大","Edge浏览器菜单字体异常变大，其他字体正常，且无法调整：在浏览器地址栏输入：edge://flags/#edge-pc-ui-integration后回车，打开后可搜索找到Enable Windows 11 Visual Updates选项，将该选项改为disable后重启浏览器即可。"
"浏览器字体显示异常","Edge浏览器菜单字体异常变大，其他字体正常，且无法调整：在浏览器地址栏输入：edge://flags/#edge-pc-ui-integration后回车，打开后可搜索找到Enable Windows 11 Visual Updates选项，将该选项改为disable后重启浏览器即可。"
"Excel中超链接打开报错","Excel中打开超链接提示“您的组织策略阻止我们为您完成此操作”：1.按键盘上的Win+R键，在弹出的输入框输入regedit；2.在在注册表中，导航找到HKEY_CURRENT_USER\Software\Classes\.html 项；3.在默认项上点右键选择修改；4.将默认项的值修改为HTMLfile，然后确定；5.同样的方法检查HKEY_CURRENT_USER\Software\Classes\.htm HKEY_LOCAL_MACHINE\SOFTWARE\Classes\.html 以及 HKEY_LOCAL_MACHINE\SOFTWARE\Classes\.htm 中的默认值是否也是HTMLfile，不是的话也改过来。6. 如果在注册表中无法修改html和htm默认项的值，请到360软件中将默认浏览器修改为非360浏览器，再进行尝试。"
"您的组织策略阻止我们为您完成此操作","Excel中打开超链接提示“您的组织策略阻止我们为您完成此操作”：1.按键盘上的Win+R键，在弹出的输入框输入regedit；2.在在注册表中，导航找到HKEY_CURRENT_USER\Software\Classes\.html 项；3.在默认项上点右键选择修改；4.将默认项的值修改为HTMLfile，然后确定；5.同样的方法检查HKEY_CURRENT_USER\Software\Classes\.htm HKEY_LOCAL_MACHINE\SOFTWARE\Classes\.html 以及 HKEY_LOCAL_MACHINE\SOFTWARE\Classes\.htm 中的默认值是否也是HTMLfile，不是的话也改过来。6. 如果在注册表中无法修改html和htm默认项的值，请到360软件中将默认浏览器修改为非360浏览器，再进行尝试。"
